time [сек];Mz;epsilon;omega;alpha;Iт;delta_р.в.;Mzp;V;Lp
0.071;1.7763568394002505e-15;2.5734878146025597e-14;1.8271763483678197e-15;4.0;38.8;-5.28;0;0;0
0.072;1.7763568394002505e-15;2.5734878146025597e-14;1.852911226513845e-15;4.0;38.8;-5.28;0;0;0
0.073;1.7763568394002505e-15;2.5734878146025597e-14;1.8786461046598706e-15;4.0;38.8;-5.28;0;0;0
0.074;1.7763568394002505e-15;2.5734878146025597e-14;1.904380982805896e-15;4.0;38.8;-5.28;0;0;0
0.075;1.7763568394002505e-15;2.5734878146025597e-14;1.9301158609519215e-15;4.0;38.8;-5.28;0;0;0
0.076;1.7763568394002505e-15;2.5734878146025597e-14;1.955850739097947e-15;4.0;38.8;-5.28;0;0;0
0.077;1.7763568394002505e-15;2.5734878146025597e-14;1.9815856172439724e-15;4.0;38.8;-5.28;0;0;0
0.078;1.7763568394002505e-15;2.5734878146025597e-14;2.0073204953899978e-15;4.0;38.8;-5.28;0;0;0
0.079;1.7763568394002505e-15;2.5734878146025597e-14;2.0330553735360232e-15;4.0;38.8;-5.28;0;0;0
0.08;1.7763568394002505e-15;2.5734878146025597e-14;2.0587902516820487e-15;4.0;38.8;-5.28;0;0;0
0.081;1.7763568394002505e-15;2.5734878146025597e-14;2.084525129828074e-15;4.0;38.8;-5.28;0;0;0
0.082;1.7763568394002505e-15;2.5734878146025597e-14;2.1102600079740996e-15;4.0;38.8;-5.28;0;0;0
0.083;1.7763568394002505e-15;2.5734878146025597e-14;2.135994886120125e-15;4.0;38.8;-5.28;0;0;0
0.084;1.7763568394002505e-15;2.5734878146025597e-14;2.1617297642661505e-15;4.0;38.8;-5.28;0;0;0
0.085;1.7763568394002505e-15;2.5734878146025597e-14;2.187464642412176e-15;4.0;38.8;-5.28;0;0;0
0.086;1.7763568394002505e-15;2.5734878146025597e-14;2.2131995205582014e-15;4.0;38.8;-5.28;0;0;0
0.087;1.7763568394002505e-15;2.5734878146025597e-14;2.238934398704227e-15;4.0;38.8;-5.28;0;0;0
0.088;1.7763568394002505e-15;2.5734878146025597e-14;2.2646692768502523e-15;4.0;38.8;-5.28;0;0;0
0.089;1.7763568394002505e-15;2.5734878146025597e-14;2.2904041549962777e-15;4.0;38.8;-5.28;0;0;0
0.09;1.7763568394002505e-15;2.5734878146025597e-14;2.316139033142303e-15;4.0;38.8;-5.28;0;0;0
0.091;1.7763568394002505e-15;2.5734878146025597e-14;2.3418739112883286e-15;4.0;38.8;-5.28;0;0;0
0.092;1.7763568394002505e-15;2.5734878146025597e-14;2.367608789434354e-15;4.0;38.8;-5.28;0;0;0
0.093;1.7763568394002505e-15;2.5734878146025597e-14;2.3933436675803795e-15;4.0;38.8;-5.28;0;0;0
0.094;1.7763568394002505e-15;2.5734878146025597e-14;2.419078545726405e-15;4.0;38.8;-5.28;0;0;0
0.095;1.7763568394002505e-15;2.5734878146025597e-14;2.4448134238724304e-15;4.0;38.8;-5.28;0;0;0
0.096;1.7763568394002505e-15;2.5734878146025597e-14;2.470548302018456e-15;4.0;38.8;-5.28;0;0;0
0.097;1.7763568394002505e-15;2.5734878146025597e-14;2.4962831801644813e-15;4.0;38.8;-5.28;0;0;0
0.098;1.7763568394002505e-15;2.5734878146025597e-14;2.5220180583105067e-15;4.0;38.8;-5.28;0;0;0
